ling_category,set_n,sentence_n,scale,premise,hypothesis,category,label
5,48,1,two-three,There are two people in the new building.,There are not three people in the new building.,implicature,3
5,48,2,two-three,There are not more than two people in the new building.,There are two people in the new building.,implicature,3
5,48,3,two-three,There are not two people in the new building.,There are not three people in the new building.,entailment,0
5,48,4,two-three,There are three people in the new building.,There are two people in the new building.,entailment,0
5,48,5,two-three,There are not three people in the new building.,There are not two people in the new building.,neutral,1
5,48,6,two-three,There are two people in the new building.,There are three people in the new building.,neutral,1
5,48,7,two-three,There are three people in the new building.,There are not two people in the new building.,contradiction,2
5,48,8,two-three,There are not two people in the new building.,There are three people in the new building.,contradiction,2
5,48,9,two-three-c,There are not two people in the new building.,There are less than two people in the new building.,implicature,3
5,48,10,two-three-c,There are not two people in the new building.,There is at most one person in the new building.,implicature,3
5,48,11,two-three-c,There are not two people in the new building.,There is at least one person in the new building.,implicature,3
4,106,1,probably-certain,Fırat probably would have had his suit cleaned.,It is not certain that Fırat would have had his suit cleaned.,implicature,3
4,106,2,probably-certain,It is not certain that Fırat would have had his suit cleaned.,Fırat probably would have had his suit cleaned.,implicature,3
4,106,3,probably-certain,Fırat probably wouldn't have had his suit cleaned.,It is not certain that Fırat would have had his suit cleaned.,entailment,0
4,106,4,probably-certain,It is certain that Fırat would have had his suit cleaned.,Fırat probably would have had his suit cleaned.,entailment,0
4,106,5,probably-certain,It is not certain that Fırat would have had his suit cleaned.,Fırat probably wouldn't have had his suit cleaned.,neutral,1
4,106,6,probably-certain,Fırat probably would have had his suit cleaned.,It is certain that Fırat would have had his suit cleaned.,neutral,1
4,106,7,probably-certain,It is certain that Fırat would have had his suit cleaned.,Fırat probably wouldn't have had his suit cleaned.,contradiction,2
4,106,8,probably-certain,Fırat probably wouldn't have had his suit cleaned.,It is certain that Fırat would have had his suit cleaned.,contradiction,2
4,384,1,possibly-one hundred percent,He possibly sent the book to Samsun by cargo.,It is not one hundred percent certain that he sent the book to Samsun by cargo.,implicature,3
4,384,2,possibly-one hundred percent,It is not one hundred percent certain that he sent the book to Samsun by cargo.,He possibly sent the book to Samsun by cargo.,implicature,3
4,384,3,possibly-one hundred percent,He possibly didn't send the book to Samsun by cargo.,It is not one hundred percent certain that he sent the book to Samsun by cargo.,entailment,0
4,384,4,possibly-one hundred percent,He one hundred percent certain sent the book to Samsun by cargo.,He possibly sent the book to Samsun by cargo.,entailment,0
4,384,5,possibly-one hundred percent,It is not one hundred percent certain that he sent the book to Samsun by cargo.,He possibly didn't send the book to Samsun by cargo.,neutral,1
4,384,6,possibly-one hundred percent,He possibly sent the book to Samsun by cargo.,He one hundred percent certain sent the book to Samsun by cargo.,neutral,1
4,384,7,possibly-one hundred percent,He one hundred percent certain sent the book to Samsun by cargo.,He possibly didn't send the book to Samsun by cargo.,contradiction,2
4,384,8,possibly-one hundred percent,He possibly didn't send the book to Samsun by cargo.,He one hundred percent certain sent the book to Samsun by cargo.,contradiction,2
3,428,1,some-most,Some of the paintings have faded colors.,Most of the paintings don't have faded colors.,implicature,3
3,428,2,some-most,Most of the paintings don't have faded colors.,Some of the paintings have faded colors.,implicature,3
3,428,3,some-most,None of the paintings have faded colors.,Most of the paintings don't have faded colors.,entailment,0
3,428,4,some-most,Most of the paintings have faded colors.,Some of the paintings have faded colors.,entailment,0
3,428,5,some-most,Most of the paintings don't have faded colors.,None of the paintings have faded colors.,neutral,1
3,428,6,some-most,Some of the paintings have faded colors.,Most of the paintings have faded colors.,neutral,1
3,428,7,some-most,Most of the paintings have faded colors.,None of the paintings have faded colors.,contradiction,2
3,428,8,some-most,None of the paintings have faded colors.,Most of the paintings have faded colors.,contradiction,2
4,40,1,probably-certain,He will probably pay for the statue he broke.,It is not certain that he will pay for the statue he broke.,implicature,3
4,40,2,probably-certain,It is not certain that he will pay for the statue he broke.,He will probably pay for the statue he broke.,implicature,3
4,40,3,probably-certain,He probably won't pay for the statue he broke.,It is not certain that he will pay for the statue he broke.,entailment,0
4,40,4,probably-certain,It is certain that he will pay for the statue he broke.,He will probably pay for the statue he broke.,entailment,0
4,40,5,probably-certain,It is not certain that he will pay for the statue he broke.,He probably won't pay for the statue he broke.,neutral,1
4,40,6,probably-certain,He will probably pay for the statue he broke.,It is certain that he will pay for the statue he broke.,neutral,1
4,40,7,probably-certain,It is certain that he will pay for the statue he broke.,He probably won't pay for the statue he broke.,contradiction,2
4,40,8,probably-certain,He probably won't pay for the statue he broke.,It is certain that he will pay for the statue he broke.,contradiction,2
2,95,1,attempt-succeed ,I had attempted to smear his name.,I had not succeeded in smearing his name.,implicature,3
2,95,2,attempt-succeed ,I had not succeeded in smearing his name.,I had attempted to smear his name.,implicature,3
2,95,3,attempt-succeed ,I had not attempted to smear his name.,I had not succeeded in smearing his name.,entailment,0
2,95,4,attempt-succeed ,I had succeeded in smearing his name.,I had attempted to smear his name.,entailment,0
2,95,5,attempt-succeed ,I had not succeeded in smearing his name.,I had not attempted to smear his name.,neutral,1
2,95,6,attempt-succeed ,I had attempted to smear his name.,I had succeeded in smearing his name.,neutral,1
2,95,7,attempt-succeed ,I had succeeded in smearing his name.,I had not attempted to smear his name.,contradiction,2
2,95,8,attempt-succeed ,I had not attempted to smear his name.,I had succeeded in smearing his name.,contradiction,2
3,450,1,some-most,Some children's toys are broken.,Most children's toys are not broken.,implicature,3
3,450,2,some-most,Most children's toys are not broken.,Some children's toys are broken.,implicature,3
3,450,3,some-most,None of the children's toys are broken.,Most children's toys are not broken.,entailment,0
3,450,4,some-most,Most children's toys are broken.,Some children's toys are broken.,entailment,0
3,450,5,some-most,Most children's toys are not broken.,None of the children's toys are broken.,neutral,1
3,450,6,some-most,Some children's toys are broken.,Most children's toys are broken.,neutral,1
