ling_category,set_n,sentence_n,scale,premise,hypothesis,category,label
6,1,1,two-three-par-n,Two of the curtains are dirty.,Three of the curtains are not dirty.,neutral,1
6,1,2,two-three-par-n,More than two of the curtains are not dirty.,Two of the curtains are dirty.,neutral,1
6,1,3,two-three-par-n,Two of the curtains are not dirty.,Three of the curtains are not dirty.,neutral,1
6,1,4,two-three-par-n,Three of the curtains are dirty.,Two of the curtains are dirty.,entailment,0
6,1,5,two-three-par-n,Three of the curtains are not dirty.,Two of the curtains are not dirty.,neutral,1
6,1,6,two-three-par-n,Two of the curtains are dirty.,Three of the curtains are dirty.,neutral,1
6,1,7,two-three-par-n,Three of the curtains are dirty.,Two of the curtains are not dirty.,neutral,1
6,1,8,two-three-par-n,Two of the curtains are not dirty.,Three of the curtains are dirty.,neutral,1
6,1,9,two-three-par-c,Two of the curtains are not dirty.,Less than two of the curtains are dirty.,neutral,1
6,1,10,two-three-par-c,Two of the curtains are not dirty.,At most two of the curtains are dirty.,neutral,1
6,1,11,two-three-par-c,Two of the curtains are not dirty.,At least one of the curtains is dirty.,implicature,3
6,2,1,two-three-par-n,I finished two parts of the game.,I didn't finish three parts of the game.,neutral,1
6,2,2,two-three-par-n,I didn't finish more than two parts of the game.,I finished two parts of the game.,neutral,1
6,2,3,two-three-par-n,I didn't finish two parts of the game.,I didn't finish three parts of the game.,neutral,1
6,2,4,two-three-par-n,I finished three parts of the game.,I finished two parts of the game.,entailment,0
6,2,5,two-three-par-n,I didn't finish three parts of the game.,I didn't finish two parts of the game.,neutral,1
6,2,6,two-three-par-n,I finished two parts of the game.,I finished three parts of the game.,neutral,1
6,2,7,two-three-par-n,I finished three parts of the game.,I didn't finish two parts of the game.,neutral,1
6,2,8,two-three-par-n,I didn't finish two parts of the game.,I finished three parts of the game.,neutral,1
6,2,9,two-three-par-c,I didn't finish two parts of the game.,I finished less than two parts of the game.,neutral,1
6,2,10,two-three-par-c,I didn't finish two parts of the game.,I finished at most one part of the game.,neutral,1
6,2,11,two-three-par-c,I didn't finish two parts of the game.,I finished at least one part of the game.,implicature,3
6,3,1,two-three-par-n,Two phases of the project are complete.,Three phases of the project are not complete.,neutral,1
6,3,2,two-three-par-n,More than two phases of the project are not complete.,Two phases of the project are complete.,neutral,1
6,3,3,two-three-par-n,Two phases of the project are not complete.,Three phases of the project are not complete.,neutral,1
6,3,4,two-three-par-n,Three phases of the project are complete.,Two phases of the project are complete.,entailment,0
6,3,5,two-three-par-n,Three phases of the project are not complete.,Two phases of the project are not complete.,neutral,1
6,3,6,two-three-par-n,Two phases of the project are complete.,Three phases of the project are complete.,neutral,1
6,3,7,two-three-par-n,Three phases of the project are complete.,Two phases of the project are not complete.,neutral,1
6,3,8,two-three-par-n,Two phases of the project are not complete.,Three phases of the project are complete.,neutral,1
6,3,9,two-three-par-c,Two phases of the project are not complete.,Less than two phases of the project are complete.,neutral,1
6,3,10,two-three-par-c,Two phases of the project are not complete.,At most one phase of the project is complete.,neutral,1
6,3,11,two-three-par-c,Two phases of the project are not complete.,At least one phase of the project is complete.,implicature,3
6,4,1,two-three-par-n,Two of the houses are earthquake resistant.,Three of the houses are not earthquake resistant.,neutral,1
6,4,2,two-three-par-n,More than two of the houses are not earthquake resistant.,Two of the houses are earthquake resistant.,neutral,1
6,4,3,two-three-par-n,Two of the houses are not earthquake resistant.,Three of the houses are not earthquake resistant.,neutral,1
6,4,4,two-three-par-n,Three of the houses are earthquake resistant.,Two of the houses are earthquake resistant.,entailment,0
6,4,5,two-three-par-n,Three of the houses are not earthquake resistant.,Two of the houses are not earthquake resistant.,neutral,1
6,4,6,two-three-par-n,Two of the houses are earthquake resistant.,Three of the houses are earthquake resistant.,neutral,1
6,4,7,two-three-par-n,Three of the houses are earthquake resistant.,Two of the houses are not earthquake resistant.,neutral,1
6,4,8,two-three-par-n,Two of the houses are not earthquake resistant.,Three of the houses are earthquake resistant.,neutral,1
6,4,9,two-three-par-c,Two of the houses are not earthquake resistant.,Less than two of the houses are earthquake resistant.,neutral,1
6,4,10,two-three-par-c,Two of the houses are not earthquake resistant.,At most two of the houses are earthquake resistant.,neutral,1
6,4,11,two-three-par-c,Two of the houses are not earthquake resistant.,At least one of the houses is earthquake resistant.,implicature,3
6,5,1,two-three-par-n,Two of the companies went bankrupt.,Three of the companies did not go bankrupt.,neutral,1
6,5,2,two-three-par-n,More than two of the companies did not go bankrupt.,Two of the companies went bankrupt.,neutral,1
6,5,3,two-three-par-n,Two of the companies did not go bankrupt.,Three of the companies did not go bankrupt.,neutral,1
6,5,4,two-three-par-n,Three of the companies went bankrupt.,Two of the companies went bankrupt.,entailment,0
6,5,5,two-three-par-n,Three of the companies did not go bankrupt.,Two of the companies did not go bankrupt.,neutral,1
6,5,6,two-three-par-n,Two of the companies went bankrupt.,Three of the companies went bankrupt.,neutral,1
6,5,7,two-three-par-n,Three of the companies went bankrupt.,Two of the companies did not go bankrupt.,neutral,1
6,5,8,two-three-par-n,Two of the companies did not go bankrupt.,Three of the companies went bankrupt.,neutral,1
6,5,9,two-three-par-c,Two of the companies did not go bankrupt.,Less than two of the companies went bankrupt.,neutral,1
