scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
similar-same ,Our cars are similar to each other.,Our cars are the same as each other.,Our cars are not similar to each other.,Our cars are not the same as each other.,"Our cars are similar to each other, even the same.","Our cars are similar to each other, perhaps even the same.",Our cars are similar to each other but not the same.,"Our cars are not the same as each other, not even similar.","Our cars are not the same as each other, maybe not even similar.",Our cars are not the same as each other but similar.
similar-same ,The computers' performances are similar.,The computers' performances are the same.,The computers' performances are not similar.,The computers' performances are not the same.,"The computers' performances are similar, even the same.","The computers' performances are similar, perhaps even the same.",The computers' performances are similar but not the same.,"The computers' performances are not the same, in fact not even similar.","The computers' performances are not the same, maybe not even similar.",The computers' performances are not the same but similar.
similar-same ,Those two paintings in the gallery are similar.,Those two paintings in the gallery are the same.,Those two paintings in the gallery are not similar.,Those two paintings in the gallery are not the same.,"Those two paintings in the gallery are similar, even the same.","Those two paintings in the gallery are similar, perhaps even the same.",Those two paintings in the gallery are similar but not the same.,"Those two paintings in the gallery are not the same, in fact, not even similar.","Those two paintings in the gallery are not the same, maybe not even similar.",Those two paintings in the gallery are not the same but similar.
similar-same ,The given aid is similar.  ,The given aid is the same.  ,The given aid is not similar.  ,The given aid is not the same.  ,"The given aid is similar, even the same.  ","The given aid is similar, maybe even the same.  ",The given aid is similar but not the same.  ,"The given aid is not the same, not even similar.  ","The given aid is not the same, maybe not even similar.  ",The given aid is not the same but similar.  
similar-same ,The class's exam papers are similar.,The class's exam papers are the same.,The class's exam papers are not similar.,The class's exam papers are not the same.,"The class's exam papers are similar, even the same.","The class's exam papers are similar, maybe even the same.",The class's exam papers are similar but not the same.,"The class's exam papers are not the same, not even similar.","The class's exam papers are not the same, maybe not even similar.",The class's exam papers are not the same but similar.
similar-same ,These two books are similar.,These two books are the same.,These two books are not similar.,These two books are not the same.,"These two books are similar, even the same.","These two books are similar, perhaps even the same.",These two books are similar but not the same.,"These two books are not the same, not even similar.","These two books are not the same, maybe not even similar.",These two books are not the same but similar.
similar-same ,Your requests yesterday were similar.  ,Your requests yesterday were the same.  ,Your requests yesterday were not similar.  ,Your requests yesterday were not the same.  ,"Your requests yesterday were similar, even the same.  ","Your requests yesterday were similar, perhaps even the same.  ",Your requests yesterday were similar but not the same.  ,"Your requests yesterday were not the same, not even similar.  ","Your requests yesterday were not the same, perhaps not even similar.  ",Your requests yesterday were not the same but similar.  
similar-same ,Last year's earnings and this year's earnings are similar.  ,Last year's earnings and this year's earnings are the same.  ,Last year's earnings and this year's earnings are not similar.  ,Last year's earnings and this year's earnings are not the same.  ,"Last year's earnings and this year's earnings are similar, even the same.  ","Last year's earnings and this year's earnings are similar, perhaps even the same.  ",Last year's earnings and this year's earnings are similar but not the same.  ,"Last year's earnings and this year's earnings are not the same, not even similar.  ","Last year's earnings and this year's earnings are not the same, maybe not even similar.  ",Last year's earnings and this year's earnings are not the same but similar.  
similar-same ,The information described in the book is similar.  ,The information described in the book is the same.  ,The information described in the book is not similar.  ,The information described in the book is not the same.  ,"The information described in the book is similar, even the same.  ","The information described in the book is similar, maybe even the same.  ",The information described in the book is similar but not the same.  ,"The information described in the book is not the same, not even similar.  ","The information described in the book is not the same, maybe not even similar.  ",The information described in the book is not the same but similar.  
similar-same ,Today's weather is similar to yesterday's.  ,Today's weather is the same as yesterday's.  ,Today's weather is not similar to yesterday's.  ,Today's weather is not the same as yesterday's.  ,"Today's weather is similar to yesterday's, even the same.  ","Today's weather is similar to yesterday's, maybe even the same.  ","Today's weather is similar to yesterday's, but not the same.  ","Today's weather is not the same as yesterday's, not even similar.  ","Today's weather is not the same as yesterday's, maybe not even similar.  ","Today's weather is not the same as yesterday's, but similar.  "
similar-same ,Topkapı Palace and Dolmabahçe Palace are similar.,Topkapı Palace and Dolmabahçe Palace are the same.,Topkapı Palace and Dolmabahçe Palace are not similar.,Topkapı Palace and Dolmabahçe Palace are not the same.,"Topkapı Palace and Dolmabahçe Palace are similar, even the same.","Topkapı Palace and Dolmabahçe Palace are similar, maybe even the same.",Topkapı Palace and Dolmabahçe Palace are similar but not the same.,"Topkapı Palace and Dolmabahçe Palace are not the same, not even similar.","Topkapı Palace and Dolmabahçe Palace are not the same, maybe not even similar.",Topkapı Palace and Dolmabahçe Palace are not the same but similar.
