scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
probably-certain,He will probably do this job.,He will certainly do this job.,He probably won't do this job.,It's not certain that he will do this job.,"He will probably do this job, in fact, he will certainly do it.","He will probably do this job, maybe it's certain he will do it.","He will probably do this job, but it is not certain that he will do it.","It is not certain that he will do this job, in fact, he probably won't do it.","It is not certain that he will do this job, he probably won't even do it.","It is not certain that he will do this job, but he will probably do it."
probably-certain,They will probably attend the conference.,They will certainly attend the conference.,They probably won't attend the conference.,It's not certain that they will attend the conference.,"They will probably attend the conference, in fact, it's certain that they will attend.","They will probably attend the conference, maybe it's certain that they will attend.","They will probably attend the conference, but it is not certain that they will attend.","It is not certain that they will attend the conference, in fact, they probably won't attend.","It is not certain that they will attend the conference, they probably won't even attend.","It is not certain that they will attend the conference, but they will probably attend."
probably-certain,He will probably read the book he just bought.,He will certainly read the book he just bought.,He probably won't read the book he just bought.,It's not certain that he will read the book he just bought.,"He will probably read the book he just bought, in fact, it's certain that he will read it.","He will probably read the book he just bought, maybe it's certain that he will read it.","He will probably read the book he just bought, but it is not certain that he will read it.","It is not certain that he will read the book he just bought, in fact, he probably won't read it.","It is not certain that he will read the book he just bought, he probably won't even read it.","It is not certain that he will read the book he just bought, but he will probably read it."
probably-certain,You will probably participate in the competition.,It is certain that you will participate in the competition.,You probably won't participate in the competition.,It is not certain that you will participate in the competition.,"You will probably participate in the competition, in fact, it is certain that you will participate.","You will probably participate in the competition, maybe it is certain that you will participate.","You will probably participate in the competition, but it is not certain that you will participate.","It is not certain that you will participate in the competition, in fact, you probably won't participate.","It is not certain that you will participate in the competition, you probably won't even participate.","It is not certain that you will participate in the competition, but you will probably participate."
probably-certain,They will probably get over yesterday's defeat.,It is certain that they will get over yesterday's defeat.,They probably won't get over yesterday's defeat.,It is not certain that they will get over yesterday's defeat.,"They will probably get over yesterday's defeat, in fact, it is certain that they will get over it.","They will probably get over yesterday's defeat, maybe it is certain that they will get over it.","They will probably get over yesterday's defeat, but it is not certain that they will get over it.","It is not certain that they will get over yesterday's defeat, in fact, they probably won't get over it.","It is not certain that they will get over yesterday's defeat, they probably won't even get over it.","It is not certain that they will get over yesterday's defeat, but they will probably get over it."
probably-certain,I will probably win tomorrow's exam.,I will certainly win tomorrow's exam.,I probably won't win tomorrow's exam.,It's not certain that I will win tomorrow's exam.,"I will probably win tomorrow's exam, in fact, it's certain that I will win it.","I will probably win tomorrow's exam, maybe it's certain that I will win it.","I will probably win tomorrow's exam, but it is not certain that I will win it.","It is not certain that I will win tomorrow's exam, in fact, I probably won't win it.","It is not certain that I will win tomorrow's exam, I probably won't even win it.","It is not certain that I will win tomorrow's exam, but I will probably win it."
probably-certain,They will probably change their attitude towards us.,It is certain that they will change their attitude towards us.,They probably won't change their attitude towards us.,It is not certain that they will change their attitude towards us.,"They will probably change their attitude towards us, in fact, it is certain that they will change it.","They will probably change their attitude towards us, maybe it is certain that they will change it.","They will probably change their attitude towards us, but it is not certain that they will change it.","It is not certain that they will change their attitude towards us, in fact, they probably won't change it.","It is not certain that they will change their attitude towards us, they probably won't even change it.","It is not certain that they will change their attitude towards us, but they will probably change it."
probably-certain,They will probably learn French and Korean.,It is certain that they will learn French and Korean.,They probably won't learn French and Korean.,It is not certain that they will learn French and Korean.,"They will probably learn French and Korean, in fact, it is certain that they will learn them.","They will probably learn French and Korean, maybe it is certain that they will learn them.","They will probably learn French and Korean, but it is not certain that they will learn them.","It is not certain that they will learn French and Korean, in fact, they probably won't learn them.","It is not certain that they will learn French and Korean, they probably won't even learn them.","It is not certain that they will learn French and Korean, but they will probably learn them."
probably-certain,He will probably take out the trash from the house.,It is certain that he will take out the trash from the house.,He probably won't take out the trash from the house.,It is not certain that he will take out the trash from the house.,"He will probably take out the trash from the house, in fact, it is certain that he will take it out.","He will probably take out the trash from the house, maybe it is certain that he will take it out.","He will probably take out the trash from the house, but it is not certain that he will take it out.","It is not certain that he will take out the trash from the house, in fact, he probably won't take it out.","It is not certain that he will take out the trash from the house, he probably won't even take it out.","It is not certain that he will take out the trash from the house, but he will probably take it out."
probably-certain,We will probably save money this year.,It is certain that we will save money this year.,We probably won't save money this year.,It is not certain that we will save money this year.,"We will probably save money this year, in fact, it is certain that we will save money.","We will probably save money this year, maybe it is certain that we will save money.","We will probably save money this year, but it is not certain that we will save money.","It is not certain that we will save money this year, in fact, we probably won't save money.","It is not certain that we will save money this year, we probably won't even save money.","It is not certain that we will save money this year, but we will probably save money."
probably-certain,Those who listen to music with headphones will probably hear.,It is certain that those who listen to music with headphones will hear.,Those who listen to music with headphones probably won't hear.,It is not certain that those who listen to music with headphones will hear.,"Those who listen to music with headphones will probably hear, in fact, it is certain that they will hear.","Those who listen to music with headphones will probably hear, maybe it is certain that they will hear.",Those who listen to music with headphones will probably hear but it is not certain that they will hear.,"It is not certain that those who listen to music with headphones will hear, in fact, they probably won't hear.","It is not certain that those who listen to music with headphones will hear, they probably won't even hear.",It is not certain that those who listen to music with headphones will hear but they will probably hear.
probably-certain,This construction will probably be finished this year.,It is certain that this construction will be finished this year.,This construction probably won't be finished this year.,It is not certain that this construction will be finished this year.,"This construction will probably be finished this year, in fact, it is certain that it will be finished.","This construction will probably be finished this year, maybe it is certain that it will be finished.",This construction will probably be finished this year but it is not certain that it will be finished.,"It is not certain that this construction will be finished this year, in fact, it probably won't be finished.","It is not certain that this construction will be finished this year, it probably won't even be finished.",It is not certain that this construction will be finished this year but it will probably be finished.
probably-certain,I will probably graduate from school this year.,It is certain that I will graduate from school this year.,I probably won't graduate from school this year.,It is not certain that I will graduate from school this year.,"I will probably graduate from school this year, in fact, it is certain that I will graduate.","I will probably graduate from school this year, maybe it is certain that I will graduate.",I will probably graduate from school this year but it is not certain that I will graduate.,"It is not certain that I will graduate from school this year, in fact, I probably won't graduate.","It is not certain that I will graduate from school this year, I probably won't even graduate.",It is not certain that I will graduate from school this year but I will probably graduate.
probably-certain,We will probably go to the place we want.,It is certain that we will go to the place we want.,We probably won't go to the place we want.,It is not certain that we will go to the place we want.,"We will probably go to the place we want, in fact, it is certain that we will go.","We will probably go to the place we want, maybe it is certain that we will go.",We will probably go to the place we want but it is not certain that we will go.,"It is not certain that we will go to the place we want, in fact, we probably won't go.","It is not certain that we will go to the place we want, we probably won't even go.",It is not certain that we will go to the place we want but we will probably go.
probably-certain,This computer will probably work.,It is certain that this computer will work.,This computer probably won't work.,It is not certain that this computer will work.,"This computer will probably work, in fact, it is certain that it will work.","This computer will probably work, maybe it is certain that it will work.",This computer will probably work but it is not certain that it will work.,"It is not certain that this computer will work, in fact, it probably won't work.","It is not certain that this computer will work, it probably won't even work.",It is not certain that this computer will work but it will probably work.
probably-certain,The company will probably reach its target.,It is certain that the company will reach its target.,The company probably won't reach its target.,It is not certain that the company will reach its target.,"The company will probably reach its target, in fact, it is certain that it will reach it.","The company will probably reach its target, maybe it is certain that it will reach it.",The company will probably reach its target but it is not certain that it will reach it.,"It is not certain that the company will reach its target, in fact, it probably won't reach it.","It is not certain that the company will reach its target, it probably won't even reach it.",It is not certain that the company will reach its target but it will probably reach it.
probably-certain,They will probably grow bananas in this village.,It is certain that they will grow bananas in this village.,They probably won't grow bananas in this village.,It is not certain that they will grow bananas in this village.,"They will probably grow bananas in this village, in fact, it is certain that they will grow them.","They will probably grow bananas in this village, maybe it is certain that they will grow them.",They will probably grow bananas in this village but it is not certain that they will grow them.,"It is not certain that they will grow bananas in this village, in fact, they probably won't grow bananas.","It is not certain that they will grow bananas in this village, they probably won't even grow bananas.",It is not certain that they will grow bananas in this village but they will probably grow bananas.
probably-certain,The children will probably finish their food.,It is certain that the children will finish their food.,The children probably won't finish their food.,It is not certain that the children will finish their food.,"The children will probably finish their food, in fact, it is certain that they will finish it.","The children will probably finish their food, maybe it is certain that they will finish it.",The children will probably finish their food but it is not certain that they will finish it.,"It is not certain that the children will finish their food, in fact, they probably won't finish it.","It is not certain that the children will finish their food, they probably won't even finish it.",It is not certain that the children will finish their food but they will probably finish it.
probably-certain,We will probably accept the boat trip.,It is certain that we will accept the boat trip.,We probably won't accept the boat trip.,It is not certain that we will accept the boat trip.,"We will probably accept the boat trip, in fact, it is certain that we will accept it.","We will probably accept the boat trip, maybe it is certain that we will accept it.",We will probably accept the boat trip but it is not certain that we will accept it.,"It is not certain that we will accept the boat trip, in fact, we probably won't accept it.","It is not certain that we will accept the boat trip, we probably won't even accept it.",It is not certain that we will accept the boat trip but we will probably accept it.
probably-certain,He will probably change the color of his hat.,It is certain that he will change the color of his hat.,He probably won't change the color of his hat.,It is not certain that he will change the color of his hat.,"He will probably change the color of his hat, in fact, it is certain that he will change it.","He will probably change the color of his hat, maybe it is certain that he will change it.",He will probably change the color of his hat but it is not certain that he will change it.,"It is not certain that he will change the color of his hat, in fact, he probably won't change it.","It is not certain that he will change the color of his hat, he probably won't even change it.",It is not certain that he will change the color of his hat but he will probably change it.
probably-certain,They will probably go on vacation this year.,It is certain that they will go on vacation this year.,They probably won't go on vacation this year.,It is not certain that they will go on vacation this year.,"They will probably go on vacation this year, it is certain they will go on vacation.","They will probably go on vacation this year, maybe it is even certain they will go on vacation.","They will probably go on vacation this year, but it is not certain they will go on vacation.","It is not certain that they will go on vacation this year, they probably won't even go on vacation.","It is not certain that they will go on vacation this year, they probably won't even go on vacation.","It is not certain that they will go on vacation this year, but they will probably go on vacation."
probably-certain,She will probably take off her necklace.,It is certain that she will take off her necklace.,She probably won't take off her necklace.,It is not certain that she will take off her necklace.,"She will probably take off her necklace, it is certain she will take it off.","She will probably take off her necklace, maybe it is even certain she will take it off.","She will probably take off her necklace, but it is not certain she will take it off.","It is not certain that she will take off her necklace, she probably won't even take it off.","It is not certain that she will take off her necklace, she probably won't even take it off.","It is not certain that she will take off her necklace, but she will probably take it off."
probably-certain,She will probably regret doing this.,It is certain that she will regret doing this.,She probably won't regret doing this.,It is not certain that she will regret doing this.,"She will probably regret doing this, it is certain she will regret it.","She will probably regret doing this, maybe it is even certain she will regret it.","She will probably regret doing this, but it is not certain she will regret it.","It is not certain that she will regret doing this, she probably won't even regret it.","It is not certain that she will regret doing this, she probably won't even regret it.","It is not certain that she will regret doing this, but she will probably regret it."
