scale,A,B,C,D,D2,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement,C_implicature_1,C_implicature_2,C_implicature_3
two-three,There are two departments in the faculty.,There are three departments in the faculty.,There are no two departments in the faculty.,There are no three departments in the faculty.,There are no more than two departments in the faculty.,"There are two departments in the faculty, in fact three departments.","There are two departments in the faculty, maybe even three departments.",There are two departments in the faculty but there are no three departments.,"There are no three departments in the faculty, not even two departments.","There are no three departments in the faculty, maybe not even two departments.",There are no three departments in the faculty but there are two departments.,There are less than two departments in the faculty.,There is a maximum of one department in the faculty.,There is at least one department in the faculty.
two-three,There are two hospitals in the city.,There are three hospitals in the city.,There are no two hospitals in the city.,There are no three hospitals in the city.,There are no more than two hospitals in the city.,"There are two hospitals in the city, in fact three hospitals.","There are two hospitals in the city, maybe even three hospitals.",There are two hospitals in the city but there are no three hospitals.,"There are no three hospitals in the city, not even two hospitals.","There are no three hospitals in the city, maybe not even two hospitals.",There are no three hospitals in the city but there are two hospitals.,There are less than two hospitals in the city.,There is a maximum of one hospital in the city.,There is at least one hospital in the city.
two-three,There are two movies showing.,There are three movies showing.,There are no two movies showing.,There are no three movies showing.,There are no more than two movies showing.,"There are two movies showing, in fact three movies.","There are two movies showing, maybe even three movies.",There are two movies showing but there are no three movies.,"There are no three movies showing, not even two movies.","There are no three movies showing, maybe not even two movies.",There are no three movies showing but there are two movies.,There are less than two movies showing.,There is a maximum of one movie showing.,There is at least one movie showing.
two-three,There are two paintings in the museum.,There are three paintings in the museum.,There are no two paintings in the museum.,There are no three paintings in the museum.,There are no more than two paintings in the museum.,"There are two paintings in the museum, in fact three paintings.","There are two paintings in the museum, maybe even three paintings.",There are two paintings in the museum but there are no three paintings.,"There are no three paintings in the museum, not even two paintings.","There are no three paintings in the museum, maybe not even two paintings.",There are no three paintings in the museum but there are two paintings.,There are less than two paintings in the museum.,There is a maximum of one painting in the museum.,There is at least one painting in the museum.
two-three,There are two books in the library.,There are three books in the library.,There are no two books in the library.,There are no three books in the library.,There are no more than two books in the library.,"There are two books in the library, in fact three books.","There are two books in the library, maybe even three books.",There are two books in the library but there are no three books.,"There are no three books in the library, not even two books.","There are no three books in the library, maybe not even two books.",There are no three books in the library but there are two books.,There are less than two books in the library.,There is a maximum of one book in the library.,There is at least one book in the library.
two-three,There are two tables in the cafe.,There are three tables in the cafe.,There are no two tables in the cafe.,There are no three tables in the cafe.,There are no more than two tables in the cafe.,"There are two tables in the cafe, in fact three tables.","There are two tables in the cafe, maybe even three tables.",There are two tables in the cafe but there are no three tables.,"There are no three tables in the cafe, not even two tables.","There are no three tables in the cafe, maybe not even two tables.",There are no three tables in the cafe but there are two tables.,There are less than two tables in the cafe.,There is a maximum of one table in the cafe.,There is at least one table in the cafe.
two-three,There are two viewers in the cinema.,There are three viewers in the cinema.,There are no two viewers in the cinema.,There are no three viewers in the cinema.,There are no more than two viewers in the cinema.,"There are two viewers in the cinema, in fact three viewers.","There are two viewers in the cinema, maybe even three viewers.",There are two viewers in the cinema but there are no three viewers.,"There are no three viewers in the cinema, not even two viewers.","There are no three viewers in the cinema, maybe not even two viewers.",There are no three viewers in the cinema but there are two viewers.,There are less than two viewers in the cinema.,There is a maximum of one viewer in the cinema.,There is at least one viewer in the cinema.
two-three,There are two children at home.,There are three children at home.,There are no two children at home.,There are no three children at home.,There are no more than two children at home.,"There are two children at home, in fact three children.","There are two children at home, maybe even three children.",There are two children at home but there are no three children.,"There are no three children at home, not even two children.","There are no three children at home, maybe not even two children.",There are no three children at home but there are two children.,There are less than two children at home.,There is a maximum of one child at home.,There is at least one child at home.
two-three,There are two elements in nature.,There are three elements in nature.,There are no two elements in nature.,There are no three elements in nature.,There are no more than two elements in nature.,"There are two elements in nature, in fact three elements.","There are two elements in nature, maybe even three elements.",There are two elements in nature but there are no three elements.,"There are no three elements in nature, not even two elements.","There are no three elements in nature, maybe not even two elements.",There are no three elements in nature but there are two elements.,There are less than two elements in nature.,There is a maximum of one element in nature.,There is at least one element in nature.
two-three,There are two weights in the gym.,There are three weights in the gym.,There are no two weights in the gym.,There are no three weights in the gym.,There are no more than two weights in the gym.,"There are two weights in the gym, in fact three weights.","There are two weights in the gym, maybe even three weights.",There are two weights in the gym but there are no three weights.,"There are no three weights in the gym, not even two weights.","There are no three weights in the gym, maybe not even two weights.",There are no three weights in the gym but there are two weights.,There are less than two weights in the gym.,There is a maximum of one weight in the gym.,There is at least one weight in the gym.
two-three,There are two plates in the kitchen.,There are three plates in the kitchen.,There aren't two plates in the kitchen.,There aren't three plates in the kitchen.,There aren't more than two plates in the kitchen.,"There are two plates in the kitchen, even three plates.","There are two plates in the kitchen, maybe even three.","There are two plates in the kitchen, but there aren't three plates.","There aren't three plates in the kitchen, not even two plates.","There aren't three plates in the kitchen, maybe not even two plates.","There aren't three plates in the kitchen, but there are two plates.",There are less than two plates in the kitchen.,There is at most one plate in the kitchen.,There is at least one plate in the kitchen.
two-three,There were two speakers at last year's meeting.,There were three speakers at last year's meeting.,There weren't two speakers at last year's meeting.,There weren't three speakers at last year's meeting.,There weren't more than two speakers at last year's meeting.,"There were two speakers at last year's meeting, even three speakers.","There were two speakers at last year's meeting, maybe even three.","There were two speakers at last year's meeting, but there weren't three speakers.","There weren't three speakers at last year's meeting, not even two speakers.","There weren't three speakers at last year's meeting, maybe not even two speakers.","There weren't three speakers at last year's meeting, but there were two speakers.",There were less than two speakers at last year's meeting.,There was at most one speaker at last year's meeting.,There was at least one speaker at last year's meeting.
two-three,There are two houses in the village.,There are three houses in the village.,There aren't two houses in the village.,There aren't three houses in the village.,There aren't more than two houses in the village.,"There are two houses in the village, even three houses.","There are two houses in the village, maybe even three.","There are two houses in the village, but there aren't three houses.","There aren't three houses in the village, not even two houses.","There aren't three houses in the village, maybe not even two houses.","There aren't three houses in the village, but there are two houses.",There are less than two houses in the village.,There is at most one house in the village.,There is at least one house in the village.
two-three,There are two cars on the street.,There are three cars on the street.,There aren't two cars on the street.,There aren't three cars on the street.,There aren't more than two cars on the street.,"There are two cars on the street, even three cars.","There are two cars on the street, maybe even three.","There are two cars on the street, but there aren't three cars.","There aren't three cars on the street, not even two cars.","There aren't three cars on the street, maybe not even two cars.","There aren't three cars on the street, but there are two cars.",There are less than two cars on the street.,There is at most one car on the street.,There is at least one car on the street.
two-three,There are two nurses in the ward.,There are three nurses in the ward.,There aren't two nurses in the ward.,There aren't three nurses in the ward.,There aren't more than two nurses in the ward.,"There are two nurses in the ward, even three nurses.","There are two nurses in the ward, maybe even three.","There are two nurses in the ward, but there aren't three nurses.","There aren't three nurses in the ward, not even two nurses.","There aren't three nurses in the ward, maybe not even two nurses.","There aren't three nurses in the ward, but there are two nurses.",There are less than two nurses in the ward.,There is at most one nurse in the ward.,There is at least one nurse in the ward.
two-three,There are two damaged areas in the columns.,There are three damaged areas in the columns.,There aren't two damaged areas in the columns.,There aren't three damaged areas in the columns.,There aren't more than two damaged areas in the columns.,"There are two damaged areas in the columns, even three damaged areas.","There are two damaged areas in the columns, maybe even three.","There are two damaged areas in the columns, but there aren't three damaged areas.","There aren't three damaged areas in the columns, not even two damaged areas.","There aren't three damaged areas in the columns, maybe not even two damaged areas.","There aren't three damaged areas in the columns, but there are two damaged areas.",There are less than two damaged areas in the columns.,There is at most one damaged area in the columns.,There is at least one damaged area in the columns.
two-three,There are two red vehicles in the parking lot.,There are three red vehicles in the parking lot.,There aren't two red vehicles in the parking lot.,There aren't three red vehicles in the parking lot.,There aren't more than two red vehicles in the parking lot.,"There are two red vehicles in the parking lot, even three red vehicles.","There are two red vehicles in the parking lot, maybe even three.","There are two red vehicles in the parking lot, but there aren't three red vehicles.","There aren't three red vehicles in the parking lot, not even two red vehicles.","There aren't three red vehicles in the parking lot, maybe not even two red vehicles.","There aren't three red vehicles in the parking lot, but there are two red vehicles.",There are less than two red vehicles in the parking lot.,There is at most one red vehicle in the parking lot.,There is at least one red vehicle in the parking lot.
two-three,There are two nightstands in the bedroom.,There are three nightstands in the bedroom.,There aren't two nightstands in the bedroom.,There aren't three nightstands in the bedroom.,There aren't more than two nightstands in the bedroom.,"There are two nightstands in the bedroom, even three nightstands.","There are two nightstands in the bedroom, maybe even three.","There are two nightstands in the bedroom, but there aren't three nightstands.","There aren't three nightstands in the bedroom, not even two nightstands.","There aren't three nightstands in the bedroom, maybe not even two nightstands.","There aren't three nightstands in the bedroom, but there are two nightstands.",There are less than two nightstands in the bedroom.,There is at most one nightstand in the bedroom.,There is at least one nightstand in the bedroom.
two-three,There are two balls in the indoor field.,There are three balls in the indoor field.,There aren't two balls in the indoor field.,There aren't three balls in the indoor field.,There aren't more than two balls in the indoor field.,"There are two balls in the indoor field, even three balls.","There are two balls in the indoor field, maybe even three.","There are two balls in the indoor field, but there aren't three balls.","There aren't three balls in the indoor field, not even two balls.","There aren't three balls in the indoor field, maybe not even two balls.","There aren't three balls in the indoor field, but there are two balls.",There are less than two balls in the indoor field.,There is at most one ball in the indoor field.,There is at least one ball in the indoor field.
two-three,There are two vehicles on the bridge.,There are three vehicles on the bridge.,There aren't two vehicles on the bridge.,There aren't three vehicles on the bridge.,There aren't more than two vehicles on the bridge.,"There are two vehicles on the bridge, even three vehicles.","There are two vehicles on the bridge, maybe even three.","There are two vehicles on the bridge, but there aren't three vehicles.","There aren't three vehicles on the bridge, not even two vehicles.","There aren't three vehicles on the bridge, maybe not even two vehicles.","There aren't three vehicles on the bridge, but there are two vehicles.",There are less than two vehicles on the bridge.,There is at most one vehicle on the bridge.,There is at least one vehicle on the bridge.
two-three,There are two cats in the corner.,There are three cats in the corner.,There are no two cats in the corner.,There are no three cats in the corner.,There are no more than two cats in the corner.,"There are two cats in the corner, even three cats.","There are two cats in the corner, maybe even three cats.","There are two cats in the corner, but not three cats.","There are no three cats in the corner, not even two cats.","There are no three cats in the corner, maybe not even two cats.","There are no three cats in the corner, but there are two cats.",There are fewer than two cats in the corner.,There is at most one cat in the corner.,There is at least one cat in the corner.
two-three,There are two dogs in the shelter.,There are three dogs in the shelter.,There are no two dogs in the shelter.,There are no three dogs in the shelter.,There are no more than two dogs in the shelter.,"There are two dogs in the shelter, even three dogs.","There are two dogs in the shelter, maybe even three dogs.","There are two dogs in the shelter, but not three dogs.","There are no three dogs in the shelter, not even two dogs.","There are no three dogs in the shelter, maybe not even two dogs.","There are no three dogs in the shelter, but there are two dogs.",There are fewer than two dogs in the shelter.,There is at most one dog in the shelter.,There is at least one dog in the shelter.
two-three,There are two cows in the village.,There are three cows in the village.,There are no two cows in the village.,There are no three cows in the village.,There are no more than two cows in the village.,"There are two cows in the village, even three cows.","There are two cows in the village, maybe even three cows.","There are two cows in the village, but not three cows.","There are no three cows in the village, not even two cows.","There are no three cows in the village, maybe not even two cows.","There are no three cows in the village, but there are two cows.",There are fewer than two cows in the village.,There is at most one cow in the village.,There is at least one cow in the village.
