scale,A,B,C,D,D2,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement,C_implicature_1,C_implicature_2,C_implicature_3
two-three,Two of the curtains are dirty.,Three of the curtains are dirty.,Two of the curtains are not dirty.,Three of the curtains are not dirty.,More than two of the curtains are not dirty.,"Two of the curtains are dirty, even three of them are dirty.","Two of the curtains are dirty, maybe three of them are dirty.","Two of the curtains are dirty, but three of them are not dirty.","Three of the curtains are not dirty, even two of them are not dirty.","Three of the curtains are not dirty, maybe even two of them are not dirty.","Three of the curtains are not dirty, but two of them are dirty.",Less than two of the curtains are dirty.,At most two of the curtains are dirty.,At least one of the curtains is dirty.
two-three,I finished two parts of the game.,I finished three parts of the game.,I didn't finish two parts of the game.,I didn't finish three parts of the game.,I didn't finish more than two parts of the game.,"I finished two parts of the game, even three parts of the game.","I finished two parts of the game, maybe three parts of the game.","I finished two parts of the game, but I didn't finish three parts of the game.","I didn't finish three parts of the game, even two parts of the game.","I didn't finish three parts of the game, maybe even two parts of the game.","I didn't finish three parts of the game, but I finished two parts of the game.",I finished less than two parts of the game.,I finished at most one part of the game.,I finished at least one part of the game.
two-three,Two phases of the project are complete.,Three phases of the project are complete.,Two phases of the project are not complete.,Three phases of the project are not complete.,More than two phases of the project are not complete.,"Two phases of the project are complete, even three phases are complete.","Two phases of the project are complete, maybe three phases are complete.","Two phases of the project are complete, but three phases are not complete.","Three phases of the project are not complete, even two phases are not complete.","Three phases of the project are not complete, maybe even two phases are not complete.","Three phases of the project are not complete, but two phases are complete.",Less than two phases of the project are complete.,At most one phase of the project is complete.,At least one phase of the project is complete.
two-three,Two of the houses are earthquake resistant.,Three of the houses are earthquake resistant.,Two of the houses are not earthquake resistant.,Three of the houses are not earthquake resistant.,More than two of the houses are not earthquake resistant.,"Two of the houses are earthquake resistant, even three are earthquake resistant.","Two of the houses are earthquake resistant, maybe three are earthquake resistant.","Two of the houses are earthquake resistant, but three are not earthquake resistant.","Three of the houses are not earthquake resistant, even two are not earthquake resistant.","Three of the houses are not earthquake resistant, maybe even two are not earthquake resistant.","Three of the houses are not earthquake resistant, but two are earthquake resistant.",Less than two of the houses are earthquake resistant.,At most two of the houses are earthquake resistant.,At least one of the houses is earthquake resistant.
two-three,Two of the companies went bankrupt.,Three of the companies went bankrupt.,Two of the companies did not go bankrupt.,Three of the companies did not go bankrupt.,More than two of the companies did not go bankrupt.,"Two of the companies went bankrupt, even three of them went bankrupt.","Two of the companies went bankrupt, maybe three of them went bankrupt.","Two of the companies went bankrupt, but three of them did not go bankrupt.","Three of the companies did not go bankrupt, even two of them did not go bankrupt.","Three of the companies did not go bankrupt, maybe even two of them did not go bankrupt.","Three of the companies did not go bankrupt, but two of them went bankrupt.",Less than two of the companies went bankrupt.,At most two of the companies went bankrupt.,At least one of the companies went bankrupt.
two-three,Two of the awards will be given to us.,Three of the awards will be given to us.,Two of the awards will not be given to us.,Three of the awards will not be given to us.,More than two of the awards will not be given to us.,"Two of the awards will be given to us, even three of them will be given to us.","Two of the awards will be given to us, maybe three of them will be given to us.","Two of the awards will be given to us, but three of them will not be given to us.","Three of the awards will not be given to us, even two of them will not be given to us.","Three of the awards will not be given to us, maybe even two of them will not be given to us.","Three of the awards will not be given to us, but two of them will be given to us.",Less than two of the awards will be given to us.,At most two of the awards will be given to us.,At least one of the awards will be given to us.
two-three,Two of the candidates were born here.,Three of the candidates were born here.,Two of the candidates were not born here.,Three of the candidates were not born here.,More than two of the candidates were not born here.,"Two of the candidates were born here, even three of them were born here.","Two of the candidates were born here, maybe three of them were born here.","Two of the candidates were born here, but three of them were not born here.","Three of the candidates were not born here, even two of them were not born here.","Three of the candidates were not born here, maybe even two of them were not born here.","Three of the candidates were not born here, but two of them were born here.",Less than two of the candidates were born here.,At most two of the candidates were born here.,At least one of the candidates was born here.
two-three,Two of these projects will be successful.,Three of these projects will be successful.,Two of these projects will not be successful.,Three of these projects will not be successful.,More than two of these projects will not be successful.,"Two of these projects will be successful, even three of them will be successful.","Two of these projects will be successful, maybe three of them will be successful.","Two of these projects will be successful, but three of them will not be successful.","Three of these projects will not be successful, even two of them will not be successful.","Three of these projects will not be successful, maybe even two of them will not be successful.","Three of these projects will not be successful, but two of them will be successful.",Less than two of these projects will be successful.,At most two of these projects will be successful.,At least one of these projects will be successful.
two-three,Two of the songs on the album became hits.,Three of the songs on the album became hits.,Two of the songs on the album did not become hits.,Three of the songs on the album did not become hits.,More than two of the songs on the album did not become hits.,"Two of the songs on the album became hits, even three of them became hits.","Two of the songs on the album became hits, maybe three of them became hits.","Two of the songs on the album became hits, but three of them did not become hits.","Three of the songs on the album did not become hits, even two of them did not become hits.","Three of the songs on the album did not become hits, maybe even two of them did not become hits.","Three of the songs on the album did not become hits, but two of them became hits.",Less than two of the songs on the album became hits.,At most two of the songs on the album became hits.,At least one of the songs on the album became hits.
two-three,Two of my glasses are lost.,Three of my glasses are lost.,Two of my glasses are not lost.,Three of my glasses are not lost.,More than two of my glasses are not lost.,"Two of my glasses are lost, even three of them are lost.","Two of my glasses are lost, maybe three of them are lost.","Two of my glasses are lost, but three of them are not lost.","Three of my glasses are not lost, even two of them are not lost.","Three of my glasses are not lost, maybe even two of them are not lost.","Three of my glasses are not lost, but two of them are lost.",Less than two of my glasses are lost.,At most two of my glasses are lost.,At least one of my glasses is lost.
three-five,Five of his ideas are logical.,Seven of his ideas are logical.,Five of his ideas are not logical.,Seven of his ideas are not logical.,More than five of his ideas are not logical.,"Five of his ideas are logical, in fact seven of them are logical.","Five of his ideas are logical, maybe even seven of them.","Five of his ideas are logical, but seven of them are not.","Seven of his ideas are not logical, in fact five of them are not logical.","Seven of his ideas are not logical, maybe even five of them are not.","Seven of his ideas are not logical, but five of them are.",Less than five of his ideas are logical.,At most four of his ideas are logical.,At least one of his ideas is logical.
three-five,Five of your televisions turned out to be broken.,Seven of your televisions turned out to be broken.,Five of your televisions didn't turn out to be broken.,Seven of your televisions didn't turn out to be broken.,More than five of your televisions didn't turn out to be broken.,"Five of your televisions turned out to be broken, in fact seven of them turned out to be broken.","Five of your televisions turned out to be broken, maybe even seven of them.","Five of your televisions turned out to be broken, but seven of them didn't turn out to be broken.","Seven of your televisions didn't turn out to be broken, in fact five of them didn't turn out to be broken.","Seven of your televisions didn't turn out to be broken, maybe even five of them didn't.","Seven of your televisions didn't turn out to be broken, but five of them turned out to be broken.",Less than five of your televisions turned out to be broken.,At most four of your televisions turned out to be broken.,At least one of your televisions turned out to be broken.
three-five,Five buttons on the remote are working.,Seven buttons on the remote are working.,Five buttons on the remote aren't working.,Seven buttons on the remote aren't working.,More than five buttons on the remote aren't working.,"Five buttons on the remote are working, in fact seven buttons are working.","Five buttons on the remote are working, maybe even seven buttons are working.","Five buttons on the remote are working, but seven buttons aren't working.","Seven buttons on the remote aren't working, in fact five buttons aren't working.","Seven buttons on the remote aren't working, maybe even five buttons aren't working.","Seven buttons on the remote aren't working, but five buttons are working.",Less than five buttons on the remote are working.,At most four buttons on the remote are working.,At least one button on the remote is working.
three-five,I planted five of the trees.,I planted seven of the trees.,I didn't plant five of the trees.,I didn't plant seven of the trees.,I didn't plant more than five of the trees.,"I planted five of the trees, in fact, I planted seven of them.","I planted five of the trees, maybe even seven of them.","I planted five of the trees, but I didn't plant seven of them.","I didn't plant seven of the trees, in fact, I didn't even plant five of them.","I didn't plant seven of the trees, maybe I didn't even plant five of them.","I didn't plant seven of the trees, but I planted five of them.",I planted less than five of the trees.,I planted at most four of the trees.,I planted at least one of the trees.
three-five,Five people came from the gym.,Seven people came from the gym.,Five people didn't come from the gym.,Seven people didn't come from the gym.,More than five people didn't come from the gym.,"Five people came from the gym, in fact, seven people came.","Five people came from the gym, maybe even seven people came.","Five people came from the gym, but seven people didn't come.","Seven people didn't come from the gym, in fact, not even five people came.","Seven people didn't come from the gym, maybe not even five people came.","Seven people didn't come from the gym, but five people came.",Less than five people came from the gym.,At most four people came from the gym.,At least one person came from the gym.
