scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
a few-all,A few of the students passed the course.,All students passed the course.,No students passed the course.,All students did not pass the course.,"A few of the students passed the course, in fact all students passed the course.","A few of the students passed the course, maybe all students passed the course.","A few of the students passed the course, but all students did not pass the course.","All students did not pass the course, in fact even a few of the students did not pass.","All students did not pass the course, maybe even a few of the students did not pass.","All students did not pass the course, but a few of the students passed the course."
a few-all,A few trees were taken under protection.,All trees were taken under protection.,No trees were taken under protection.,All trees were not taken under protection.,"A few trees were taken under protection, in fact all trees were taken under protection.","A few trees were taken under protection, maybe all trees were taken under protection.","A few trees were taken under protection, but all trees were not taken under protection.","All trees were not taken under protection, in fact even a few trees were not taken under protection.","All trees were not taken under protection, maybe even a few trees were not taken under protection.","All trees were not taken under protection, but a few trees were taken under protection."
a few-all,A few cars will be sold.,All cars will be sold.,No cars will be sold.,All cars will not be sold.,"A few cars will be sold, in fact all cars will be sold.","A few cars will be sold, maybe all cars will be sold.","A few cars will be sold, but all cars will not be sold.","All cars will not be sold, in fact even a few cars will not be sold.","All cars will not be sold, maybe even a few cars will not be sold.","All cars will not be sold, but a few cars will be sold."
a few-all,A few children's meals were prepared.,All children's meals were prepared.,No children's meals were prepared.,All children's meals were not prepared.,"A few children's meals were prepared, in fact all children's meals were prepared.","A few children's meals were prepared, maybe all children's meals were prepared.","A few children's meals were prepared, but all children's meals were not prepared.","All children's meals were not prepared, in fact even a few children's meals were not prepared.","All children's meals were not prepared, maybe even a few children's meals were not prepared.","All children's meals were not prepared, but a few children's meals were prepared."
a few-all,A few pages of the notebook are torn.,All pages of the notebook are torn.,No pages of the notebook are torn.,All pages of the notebook are not torn.,"A few pages of the notebook are torn, in fact all pages are torn.","A few pages of the notebook are torn, maybe all pages are torn.","A few pages of the notebook are torn, but all pages are not torn.","All pages of the notebook are not torn, in fact even a few pages are not torn.","All pages of the notebook are not torn, maybe even a few pages are not torn.","All pages of the notebook are not torn, but a few pages are torn."
a few-all,I saw a few of my friends yesterday.,I saw all my friends yesterday.,I did not see any of my friends yesterday.,I did not see all my friends yesterday.,"I saw a few of my friends yesterday, in fact I saw all my friends.","I saw a few of my friends yesterday, maybe I saw all my friends.","I saw a few of my friends yesterday, but I did not see all my friends.","I did not see all my friends yesterday, in fact I did not even see a few of my friends.","I did not see all my friends yesterday, maybe I did not even see a few of my friends.","I did not see all my friends yesterday, but I saw a few of my friends."
a few-all,A few officers resigned.,All officers resigned.,No officers resigned.,All officers did not resign.,"A few officers resigned, in fact all officers resigned.","A few officers resigned, maybe all officers resigned.","A few officers resigned, but all officers did not resign.","All officers did not resign, in fact even a few officers did not resign.","All officers did not resign, maybe even a few officers did not resign.","All officers did not resign, but a few officers resigned."
a few-all,A few of the titles are lies.,All of the titles are lies.,None of the titles are lies.,All of the titles are not lies.,"A few of the titles are lies, in fact all of them are lies.","A few of the titles are lies, maybe all of them are lies.","A few of the titles are lies, but all of them are not lies.","All of the titles are not lies, in fact even a few of them are not lies.","All of the titles are not lies, maybe even a few of them are not lies.","All of the titles are not lies, but a few of them are lies."
a few-all,A few of my players are tired.,All of my players are tired.,None of my players are tired.,All of my players are not tired.,"A few of my players are tired, in fact all of my players are tired.","A few of my players are tired, maybe all of my players are tired.","A few of my players are tired, but all of my players are not tired.","All of my players are not tired, in fact even a few of my players are not tired.","All of my players are not tired, maybe even a few of my players are not tired.","All of my players are not tired, but a few of my players are tired."
a few-all,A few of the school's doors are old.,All of the school's doors are old.,None of the school's doors are old.,All of the school's doors are not old.,"A few of the school's doors are old, in fact all of the doors are old.","A few of the school's doors are old, maybe all of the doors are old.","A few of the school's doors are old, but all of the doors are not old.","All of the school's doors are not old, in fact even a few of the doors are not old.","All of the school's doors are not old, maybe even a few of the doors are not old.","All of the school's doors are not old, but a few of the doors are old. "
