scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
approach-arrive ,The last group approached the school.,The last group arrived at the school.,The last group did not approach the school.,The last group did not arrive at the school.,"The last group approached the school, and even arrived.","The last group approached the school, and perhaps arrived.","The last group approached the school, but did not arrive.","The last group did not arrive at the school, and did not even approach it.","The last group did not arrive at the school, and perhaps did not even approach it.","The last group did not arrive at the school, but they approached it."
approach-arrive ,The surviving armies approached their countries.,The surviving armies arrived at their countries.,The surviving armies did not approach their countries.,The surviving armies did not arrive at their countries.,"The surviving armies approached their countries, and even arrived.","The surviving armies approached their countries, and perhaps arrived.","The surviving armies approached their countries, but did not arrive.","The surviving armies did not arrive at their countries, and did not even approach them.","The surviving armies did not arrive at their countries, and perhaps did not even approach them.","The surviving armies did not arrive at their countries, but they approached them."
approach-arrive ,The contestants approached the starting point.,The contestants arrived at the starting point.,The contestants did not approach the starting point.,The contestants did not arrive at the starting point.,"The contestants approached the starting point, and even arrived.","The contestants approached the starting point, and perhaps arrived.","The contestants approached the starting point, but did not arrive.","The contestants did not arrive at the starting point, and did not even approach it.","The contestants did not arrive at the starting point, and perhaps did not even approach it.","The contestants did not arrive at the starting point, but they approached it."
approach-arrive ,The passengers approached the airport.,The passengers arrived at the airport.,The passengers did not approach the airport.,The passengers did not arrive at the airport.,"The passengers approached the airport, and even arrived.","The passengers approached the airport, and perhaps arrived.","The passengers approached the airport, but did not arrive.","The passengers did not arrive at the airport, and did not even approach it.","The passengers did not arrive at the airport, and perhaps did not even approach it.","The passengers did not arrive at the airport, but they approached it."
approach-arrive ,The dogs approached their waiting owners.,The dogs arrived at their waiting owners.,The dogs did not approach their waiting owners.,The dogs did not arrive at their waiting owners.,"The dogs approached their waiting owners, and even arrived.","The dogs approached their waiting owners, and perhaps arrived.","The dogs approached their waiting owners, but did not arrive.","The dogs did not arrive at their waiting owners, and did not even approach them.","The dogs did not arrive at their waiting owners, and perhaps did not even approach them.","The dogs did not arrive at their waiting owners, but they approached them."
approach-arrive ,The plane that could not land due to the wind approached Ankara.,The plane that could not land due to the wind arrived in Ankara.,The plane that could not land due to the wind did not approach Ankara.,The plane that could not land due to the wind did not arrive in Ankara.,"The plane that could not land due to the wind approached Ankara, and even arrived.","The plane that could not land due to the wind approached Ankara, and perhaps arrived.","The plane that could not land due to the wind approached Ankara, but did not arrive.","The plane that could not land due to the wind did not arrive in Ankara, and did not even approach it.","The plane that could not land due to the wind did not arrive in Ankara, and perhaps did not even approach it.","The plane that could not land due to the wind did not arrive in Ankara, but it approached it."
approach-arrive ,The artist longing for the village approached his homeland.,The artist longing for the village arrived at his homeland.,The artist longing for the village did not approach his homeland.,The artist longing for the village did not arrive at his homeland.,"The artist longing for the village approached his homeland, and even arrived.","The artist longing for the village approached his homeland, and perhaps arrived.","The artist longing for the village approached his homeland, but did not arrive.","The artist longing for the village did not arrive at his homeland, and did not even approach it.","The artist longing for the village did not arrive at his homeland, and perhaps did not even approach it.","The artist longing for the village did not arrive at his homeland, but he approached it."
approach-arrive ,The business people who finished their meal approached the conference hall.,The business people who finished their meal arrived at the conference hall.,The business people who finished their meal did not approach the conference hall.,The business people who finished their meal did not arrive at the conference hall.,"The business people who finished their meal approached the conference hall, and even arrived.","The business people who finished their meal approached the conference hall, and perhaps arrived.","The business people who finished their meal approached the conference hall, but did not arrive.","The business people who finished their meal did not arrive at the conference hall, and did not even approach it.","The business people who finished their meal did not arrive at the conference hall, and perhaps did not even approach it.","The business people who finished their meal did not arrive at the conference hall, but they approached it."
approach-arrive ,The footballers had approached the stadium.,The footballers had arrived at the stadium.,The footballers had not approached the stadium.,The footballers had not arrived at the stadium.,"The footballers had approached the stadium, and even arrived.","The footballers had approached the stadium, and perhaps arrived.","The footballers had approached the stadium, but had not arrived.","The footballers had not arrived at the stadium, and had not even approached it.","The footballers had not arrived at the stadium, and perhaps had not even approached it.","The footballers had not arrived at the stadium, but they had approached it."
approach-arrive ,The helicopter had approached the summit of the mountain.,The helicopter had arrived at the summit of the mountain.,The helicopter had not approached the summit of the mountain.,The helicopter had not arrived at the summit of the mountain.,"The helicopter had approached the summit of the mountain, and even arrived.","The helicopter had approached the summit of the mountain, and perhaps arrived.","The helicopter had approached the summit of the mountain, but had not arrived.","The helicopter had not arrived at the summit of the mountain, and had not even approached it.","The helicopter had not arrived at the summit of the mountain, and perhaps had not even approached it.","The helicopter had not arrived at the summit of the mountain, but it had approached it. "
approach-arrive ,He had approached the goal of becoming a teacher at his father's request.,He had arrived at the goal of becoming a teacher at his father's request.,He had not approached the goal of becoming a teacher at his father's request.,He had not arrived at the goal of becoming a teacher at his father's request.,"He had approached the goal of becoming a teacher at his father's request, he even arrived at it.","He had approached the goal of becoming a teacher at his father's request, maybe he even arrived at it.","He had approached the goal of becoming a teacher at his father's request, but he did not arrive at it.","He had not arrived at the goal of becoming a teacher at his father's request, he had not even approached it.","He had not arrived at the goal of becoming a teacher at his father's request, maybe he had not even approached it.","He had not arrived at the goal of becoming a teacher at his father's request, but he had approached it."
approach-arrive ,He approached the dining hall quickly.,He arrived at the dining hall quickly.,He did not approach the dining hall quickly.,He did not arrive at the dining hall quickly.,"He approached the dining hall quickly, he even arrived at it.","He approached the dining hall quickly, maybe he even arrived at it.","He approached the dining hall quickly, but he did not arrive at it.","He did not arrive at the dining hall quickly, he did not even approach it.","He did not arrive at the dining hall quickly, maybe he did not even approach it.","He did not arrive at the dining hall quickly, but he approached it."
approach-arrive ,He approached the bank of the stream.,He arrived at the bank of the stream.,He did not approach the bank of the stream.,He did not arrive at the bank of the stream.,"He approached the bank of the stream, he even arrived at it.","He approached the bank of the stream, maybe he even arrived at it.","He approached the bank of the stream, but he did not arrive at it.","He did not arrive at the bank of the stream, he did not even approach it.","He did not arrive at the bank of the stream, maybe he did not even approach it.","He did not arrive at the bank of the stream, but he approached it."
approach-arrive ,The board of directors approached the meeting room.,The board of directors arrived at the meeting room.,The board of directors did not approach the meeting room.,The board of directors did not arrive at the meeting room.,"The board of directors approached the meeting room, they even arrived at it.","The board of directors approached the meeting room, maybe they even arrived at it.","The board of directors approached the meeting room, but they did not arrive at it.","The board of directors did not arrive at the meeting room, they did not even approach it.","The board of directors did not arrive at the meeting room, maybe they did not even approach it.","The board of directors did not arrive at the meeting room, but they approached it."
approach-arrive ,Adrenalin enthusiast travelers approached Japan.,Adrenalin enthusiast travelers arrived in Japan.,Adrenalin enthusiast travelers did not approach Japan.,Adrenalin enthusiast travelers did not arrive in Japan.,"Adrenalin enthusiast travelers approached Japan, they even arrived in it.","Adrenalin enthusiast travelers approached Japan, maybe they even arrived in it.","Adrenalin enthusiast travelers approached Japan, but they did not arrive in it.","Adrenalin enthusiast travelers did not arrive in Japan, they did not even approach it.","Adrenalin enthusiast travelers did not arrive in Japan, maybe they did not even approach it.","Adrenalin enthusiast travelers did not arrive in Japan, but they approached it."
approach-arrive ,People approached the cheap restaurant.,People arrived at the cheap restaurant.,People did not approach the cheap restaurant.,People did not arrive at the cheap restaurant.,"People approached the cheap restaurant, they even arrived at it.","People approached the cheap restaurant, maybe they even arrived at it.","People approached the cheap restaurant, but they did not arrive at it.","People did not arrive at the cheap restaurant, they did not even approach it.","People did not arrive at the cheap restaurant, maybe they did not even approach it.","People did not arrive at the cheap restaurant, but they approached it."
approach-arrive ,Those who got off the bus have approached the subway.,Those who got off the bus have arrived at the subway.,Those who got off the bus have not approached the subway.,Those who got off the bus have not arrived at the subway.,"Those who got off the bus have approached the subway, they have even arrived at it.","Those who got off the bus have approached the subway, maybe they have even arrived at it.","Those who got off the bus have approached the subway, but they have not arrived at it.","Those who got off the bus have not arrived at the subway, they have not even approached it.","Those who got off the bus have not arrived at the subway, maybe they have not even approached it.","Those who got off the bus have not arrived at the subway, but they have approached it."
approach-arrive ,The lion slowly approached its prey.,The lion slowly arrived at its prey.,The lion did not slowly approach its prey.,The lion did not slowly arrive at its prey.,"The lion slowly approached its prey, it even arrived at it.","The lion slowly approached its prey, maybe it even arrived at it.","The lion slowly approached its prey, but it did not arrive at it.","The lion did not slowly arrive at its prey, it did not even approach it.","The lion did not slowly arrive at its prey, maybe it did not even approach it.","The lion did not slowly arrive at its prey, but it approached it."
approach-arrive ,The seagulls approached the thrown simits.,The seagulls arrived at the thrown simits.,The seagulls did not approach the thrown simits.,The seagulls did not arrive at the thrown simits.,"The seagulls approached the thrown simits, they even arrived at them.","The seagulls approached the thrown simits, maybe they even arrived at them.","The seagulls approached the thrown simits, but they did not arrive at them.","The seagulls did not arrive at the thrown simits, they did not even approach them.","The seagulls did not arrive at the thrown simits, maybe they did not even approach them.","The seagulls did not arrive at the thrown simits, but they approached them."
approach-arrive ,France was approached with the latest news.,France was arrived at with the latest news.,France was not approached with the latest news.,France was not arrived at with the latest news.,"France was approached with the latest news, it was even arrived at.","France was approached with the latest news, maybe it was even arrived at.","France was approached with the latest news, but it was not arrived at.","France was not arrived at with the latest news, it was not even approached.","France was not arrived at with the latest news, maybe it was not even approached.","France was not arrived at with the latest news, but it was approached."
approach-arrive ,The women in the village approached home.,The women in the village arrived home.,The women in the village did not approach home.,The women in the village did not arrive home.,"The women in the village approached home, even arrived.","The women in the village approached home, maybe even arrived.",The women in the village approached home but did not arrive.,"The women in the village did not arrive home, they did not even approach.","The women in the village did not arrive home, maybe they did not even approach.",The women in the village did not arrive home but they approached.
approach-arrive ,The French group approached the airport.,The French group arrived at the airport.,The French group did not approach the airport.,The French group did not arrive at the airport.,"The French group approached the airport, even arrived.","The French group approached the airport, maybe even arrived.",The French group approached the airport but did not arrive.,"The French group did not arrive at the airport, they did not even approach.","The French group did not arrive at the airport, maybe they did not even approach.",The French group did not arrive at the airport but they approached.
approach-arrive ,Elif approached the store with bags.,Elif arrived at the store with bags.,Elif did not approach the store with bags.,Elif did not arrive at the store with bags.,"Elif approached the store with bags, even arrived.","Elif approached the store with bags, maybe even arrived.",Elif approached the store with bags but did not arrive.,"Elif did not arrive at the store with bags, she did not even approach.","Elif did not arrive at the store with bags, maybe she did not even approach.",Elif did not arrive at the store with bags but she approached.
approach-arrive ,The horses approached their farm.,The horses arrived at their farm.,The horses did not approach their farm.,The horses did not arrive at their farm.,"The horses approached their farm, even arrived.","The horses approached their farm, maybe even arrived.",The horses approached their farm but did not arrive.,"The horses did not arrive at their farm, they did not even approach.","The horses did not arrive at their farm, maybe they did not even approach.",The horses did not arrive at their farm but they approached.
approach-arrive ,The truck carrying the ovens approached the new house.,The truck carrying the ovens arrived at the new house.,The truck carrying the ovens did not approach the new house.,The truck carrying the ovens did not arrive at the new house.,"The truck carrying the ovens approached the new house, even arrived.","The truck carrying the ovens approached the new house, maybe even arrived.",The truck carrying the ovens approached the new house but did not arrive.,"The truck carrying the ovens did not arrive at the new house, it did not even approach.","The truck carrying the ovens did not arrive at the new house, maybe it did not even approach.",The truck carrying the ovens did not arrive at the new house but it approached.
approach-arrive ,He approached the location shown by the compass.,He arrived at the location shown by the compass.,He did not approach the location shown by the compass.,He did not arrive at the location shown by the compass.,"He approached the location shown by the compass, even arrived.","He approached the location shown by the compass, maybe even arrived.",He approached the location shown by the compass but did not arrive.,"He did not arrive at the location shown by the compass, he did not even approach.","He did not arrive at the location shown by the compass, maybe he did not even approach.",He did not arrive at the location shown by the compass but he approached.
