scale,A,B,C,D,AD_cancellation,AD_suspension,AD_reinforcement,DA_cancellation,DA_suspension,DA_reinforcement
yönelmek-varmak,Son grup okula yöneldi.,Son grup okula vardı.,Son grup okula yönelmedi.,Son grup okula varmadı.,"Son grup okula yöneldi, hatta vardı.","Son grup okula yöneldi, belki de vardı.",Son grup okula yöneldi ama varmadı.,"Son grup okula varmadı, hatta yönelmedi bile.","Son grup okula varmadı, belki yönelmedi bile.",Son grup okula varmadı ama yöneldi.
yönelmek-varmak,Hayatta kalan ordular ülkelerine yöneldi.,Hayatta kalan ordular ülkelerine vardı.,Hayatta kalan ordular ülkelerine yönelmedi.,Hayatta kalan ordular ülkelerine varmadı.,"Hayatta kalan ordular ülkelerine yöneldi, hatta vardı.","Hayatta kalan ordular ülkelerine yöneldi, belki de vardı.",Hayatta kalan ordular ülkelerine yöneldi ama varmadı.,"Hayatta kalan ordular ülkelerine varmadı, hatta yönelmedi bile.","Hayatta kalan ordular ülkelerine varmadı, belki yönelmedi bile.",Hayatta kalan ordular ülkelerine varmadı ama yöneldi.
yönelmek-varmak,Yarışmacılar başlangıç noktasına yöneldi.,Yarışmacılar başlangıç noktasına vardı.,Yarışmacılar başlangıç noktasına yönelmedi.,Yarışmacılar başlangıç noktasına varmadı.,"Yarışmacılar başlangıç noktasına yöneldi, hatta vardı.","Yarışmacılar başlangıç noktasına yöneldi, belki de vardı.",Yarışmacılar başlangıç noktasına yöneldi ama varmadı.,"Yarışmacılar başlangıç noktasına varmadı, hatta yönelmedi bile.","Yarışmacılar başlangıç noktasına varmadı, belki yönelmedi bile.",Yarışmacılar başlangıç noktasına varmadı ama yöneldi.
yönelmek-varmak,Yolcular havaalanına yöneldi.,Yolcular havaalanına vardı.,Yolcular havaalanına yönelmedi.,Yolcular havaalanına varmadı.,"Yolcular havaalanına yöneldi, hatta vardı.","Yolcular havaalanına yöneldi, belki de vardı.",Yolcular havaalanına yöneldi ama varmadı.,"Yolcular havaalanına varmadı, hatta yönelmedi bile.","Yolcular havaalanına varmadı, belki yönelmedi bile.",Yolcular havaalanına varmadı ama yöneldi.
yönelmek-varmak,Köpekler kendilerini bekleyen sahiplerine yöneldi.,Köpekler kendilerini bekleyen sahiplerine vardı.,Köpekler kendilerini bekleyen sahiplerine yönelmedi.,Köpekler kendilerini bekleyen sahiplerine varmadı.,"Köpekler kendilerini bekleyen sahiplerine yöneldi, hatta vardı.","Köpekler kendilerini bekleyen sahiplerine yöneldi, belki de vardı.",Köpekler kendilerini bekleyen sahiplerine yöneldi ama varmadı.,"Köpekler kendilerini bekleyen sahiplerine varmadı, hatta yönelmedi bile.","Köpekler kendilerini bekleyen sahiplerine varmadı, belki yönelmedi bile.",Köpekler kendilerini bekleyen sahiplerine varmadı ama yöneldi.
yönelmek-varmak,Rüzgardan dolayı inemeyen uçak Ankara'ya yöneldi.,Rüzgardan dolayı inemeyen uçak Ankara'ya vardı.,Rüzgardan dolayı inemeyen uçak Ankara'ya yönelmedi.,Rüzgardan dolayı inemeyen uçak Ankara'ya varmadı.,"Rüzgardan dolayı inemeyen uçak Ankara'ya yöneldi, hatta vardı.","Rüzgardan dolayı inemeyen uçak Ankara'ya yöneldi, belki de vardı.",Rüzgardan dolayı inemeyen uçak Ankara'ya yöneldi ama varmadı.,"Rüzgardan dolayı inemeyen uçak Ankara'ya varmadı, hatta yönelmedi bile.","Rüzgardan dolayı inemeyen uçak Ankara'ya varmadı, belki yönelmedi bile.",Rüzgardan dolayı inemeyen uçak Ankara'ya varmadı ama yöneldi.
yönelmek-varmak,Köy özlemi çeken sanatçı vatanına yöneldi.,Köy özlemi çeken sanatçı vatanına vardı.,Köy özlemi çeken sanatçı vatanına yönelmedi.,Köy özlemi çeken sanatçı vatanına varmadı.,"Köy özlemi çeken sanatçı vatanına yöneldi, hatta vardı.","Köy özlemi çeken sanatçı vatanına yöneldi, belki de vardı.",Köy özlemi çeken sanatçı vatanına yöneldi ama varmadı.,"Köy özlemi çeken sanatçı vatanına varmadı, hatta yönelmedi bile.","Köy özlemi çeken sanatçı vatanına varmadı, belki yönelmedi bile.",Köy özlemi çeken sanatçı vatanına varmadı ama yöneldi.
yönelmek-varmak,Yemeğini bitiren iş insanları konferans salonuna yöneldi.,Yemeğini bitiren iş insanları konferans salonuna vardı.,Yemeğini bitiren iş insanları konferans salonuna yönelmedi.,Yemeğini bitiren iş insanları konferans salonuna varmadı.,"Yemeğini bitiren iş insanları konferans salonuna yöneldi, hatta vardı.","Yemeğini bitiren iş insanları konferans salonuna yöneldi, belki de vardı.",Yemeğini bitiren iş insanları konferans salonuna yöneldi ama varmadı.,"Yemeğini bitiren iş insanları konferans salonuna varmadı, hatta yönelmedi bile.","Yemeğini bitiren iş insanları konferans salonuna varmadı, belki yönelmedi bile.",Yemeğini bitiren iş insanları konferans salonuna varmadı ama yöneldi.
yönelmek-varmak,Futbolcular stada yönelmişti.,Futbolcular stada varmıştı.,Futbolcular stada yönelmemişti.,Futbolcular stada varmamıştı.,"Futbolcular stada yönelmişti, hatta varmıştı.","Futbolcular stada yönelmişti, belki de varmıştı.",Futbolcular stada yönelmişti ama varmamıştı.,"Futbolcular stada varmamıştı, hatta yönelmemişti bile.","Futbolcular stada varmamıştı, belki yönelmemişti bile.",Futbolcular stada varmamıştı ama yönelmişti.
yönelmek-varmak,Helikopter dağın zirvesine yönelmişti.,Helikopter dağın zirvesine varmıştı.,Helikopter dağın zirvesine yönelmemişti.,Helikopter dağın zirvesine varmamıştı.,"Helikopter dağın zirvesine yönelmişti, hatta varmıştı.","Helikopter dağın zirvesine yönelmişti, belki de varmıştı.",Helikopter dağın zirvesine yönelmişti ama varmamıştı.,"Helikopter dağın zirvesine varmamıştı, hatta yönelmemişti bile.","Helikopter dağın zirvesine varmamıştı, belki yönelmemişti bile.",Helikopter dağın zirvesine varmamıştı ama yönelmişti.
